Algorithm;input;distance;time;n_veiculos
kmeans-aggregation;cvrp-0-df-90;1221,0963;161,99625158309937;32
kmeans-aggregation;cvrp-0-df-91;1157,7031;142,45407724380493;26
kmeans-aggregation;cvrp-0-df-92;1310,9162;149,91688895225525;28
kmeans-aggregation;cvrp-0-df-93;1046,7733;140,2705578804016;25
kmeans-aggregation;cvrp-0-df-94;1319,2238;147,49714469909668;28
kmeans-aggregation;cvrp-0-df-95;1418,719;160,30964946746826;33
kmeans-aggregation;cvrp-0-df-96;1342,0728;155,98264813423157;33
kmeans-aggregation;cvrp-0-df-97;1148,0613;140,57651209831238;27
kmeans-aggregation;cvrp-0-df-98;1152,1412;137,50764274597168;26
kmeans-aggregation;cvrp-0-df-99;1131,4321;143,7899568080902;26
kmeans-aggregation;cvrp-0-df-100;1459,844;175,88323616981506;36
kmeans-aggregation;cvrp-0-df-101;1211,5032;165,33278250694275;33
kmeans-aggregation;cvrp-0-df-102;1383,9913;166,60635209083557;34
kmeans-aggregation;cvrp-0-df-103;1524,1952;178,45776462554932;37
kmeans-aggregation;cvrp-0-df-104;1211,6462;162,8070468902588;33
kmeans-aggregation;cvrp-0-df-105;1164,0346;144,13735008239746;26
kmeans-aggregation;cvrp-0-df-106;1323,0836;162,90082120895386;33
kmeans-aggregation;cvrp-0-df-107;1469,1826;171,67829275131226;36
kmeans-aggregation;cvrp-0-df-108;1308,7067;160,96447610855103;33
kmeans-aggregation;cvrp-0-df-109;1294,2559;171,05407333374023;33
kmeans-aggregation;cvrp-0-df-110;1437,285;174,9382610321045;38
kmeans-aggregation;cvrp-0-df-111;1284,8901;159,2537591457367;32
kmeans-aggregation;cvrp-0-df-112;1349,5378;161,3352837562561;31
kmeans-aggregation;cvrp-0-df-113;1170,0331;154,0050528049469;28
kmeans-aggregation;cvrp-0-df-114;1372,2636;163,816668510437;34
kmeans-aggregation;cvrp-0-df-115;1317,0106;155,69070982933044;32
kmeans-aggregation;cvrp-0-df-116;1259,7098;161,83365392684937;30
kmeans-aggregation;cvrp-0-df-117;1136,5195;132,7061731815338;27
kmeans-aggregation;cvrp-0-df-118;1315,2874;155,38404822349548;30
kmeans-aggregation;cvrp-0-df-119;1266,9108;141,18246936798096;27
