Algorithm,input,distance,time,n_veiculos
krs,cvrp-0-pa-90,651.2639,0.0,15
krs,cvrp-0-pa-91,838.8639,0.048000335693359375,10
krs,cvrp-0-pa-92,586.007,0.0,13
krs,cvrp-0-pa-93,579.3446,0.07199954986572266,8
krs,cvrp-0-pa-94,712.98,0.0,14
krs,cvrp-0-pa-95,841.3893,0.2199997901916504,10
krs,cvrp-0-pa-96,698.5624,0.0,16
krs,cvrp-0-pa-97,596.5405,0.1419997215270996,11
krs,cvrp-0-pa-98,704.6305,0.15200090408325195,10
krs,cvrp-0-pa-99,718.3267,0.0010013580322265625,17
