krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
175,6.3398,175,0.7439,134,4.0507,164,3.6073
5,0.4079,139,0.9791,155,0.6327,159,3.2633
175,2.2102,176,1.4611,179,3.655,166,0.4404
17,0.766,177,0.5832,179,4.5427,161,1.1909
177,8.4366,180,2.8774,179,0.9546,174,0.6836
180,5.7897,180,2.7582,179,0.8143,165,0.7931
180,4.6746,178,5.7214,164,0.6991,145,1.0873
59,3.6182,169,0.3682,125,0.5147,154,6.4582
178,18.3672,94,0.3171,174,2.7718,180,2.7621
147,4.6205,,,,,,
15,1.5139,,,,,,
148,5.3157,,,,,,
4,0.0055,,,,,,
