krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
178,5.4302,166,0.4999,180,2.3165,156,4.8258
144,1.676,177,0.349,179,0.2964,44,13.3015
180,3.7093,176,0.3523,180,4.5273,180,3.3481
72,2.7813,180,3.314,155,0.5022,175,4.4917
180,9.2042,161,1.0208,180,0.39,176,0.8222
36,25.3578,180,3.854,180,4.4357,174,0.9371
180,4.3973,179,0.6884,179,4.2684,175,1.1403
27,1.6691,180,0.9201,172,0.5107,179,0.2995
0,0,179,0.4443,174,0.4842,156,0.6933
180,8.6184,180,7.1433,179,1.1208,168,1.3307
67,5.2584,,,,,175,0.3153
165,5.2837,,,,,,
168,7.7265,,,,,,
0,0,,,,,,
175,8.1947,,,,,,
0,0,,,,,,
