kpmip,kpmip,kpmipo,kpmipo
Capacities,Distances,Capacities,Distances
6,31.9597,9,0.305
7,1.5905,160,14.4517
161,7.1209,0,0
28,0.2528,40,1.1401
9,0.5269,6,51.4083
1,4.0916,0,0
8,0.2715,3,5.1387
3,19.0766,31,1.9422
7,3.0934,1,9.7689
0,0,0,0
7,1.5513,1,2.0614
125,2.8663,125,12.793
7,2.0975,10,4.7505
129,4.6553,127,5.9708
23,12.4608,3,4.1993
3,4.0174,8,0.0
