krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
180,11.9622,133,0.3716,154,0.3571,160,4.9667
37,9.9091,169,2.6641,170,4.4316,180,3.2673
178,9.8709,180,5.0594,175,0.6808,177,1.921
178,3.5559,154,4.7794,170,0.8296,177,2.8981
29,35.2659,147,0.8734,177,4.1226,176,2.8554
180,3.1572,137,0.4026,176,2.6729,166,2.6838
23,34.9601,173,2.6452,175,3.8722,161,0.3669
176,6.1569,104,0.7056,,,,
52,5.3102,,,,,,
162,6.3435,,,,,,
