ccpvrp,ccpvrp,kpmipo,kpmipo
Capacities,Distances,Capacities,Distances
63,7.6568,20,1.3573
180,3.0351,3,0.91
180,0.924,54,6.0942
180,4.6629,10,29.1349
180,3.4301,174,4.2422
180,4.7613,12,3.4601
180,2.4241,1,1.2842
180,5.7604,153,8.6233
,,10,0.5044
,,22,22.1487
,,0,0
,,24,1.2399
