krsof,krsof,lkh3,lkh3,kmeans-partition,kmeans-partition,kmeans-aggregation,kmeans-aggregation
Capacities,Distances,Capacities,Distances,Capacities,Distances,Capacities,Distances
169,11.0417,174,3.2509,180,3.6186,142,3.4332
142,9.3587,180,2.2987,180,3.4225,125,3.3478
88,9.5913,131,0.3173,160,2.1856,180,5.2673
179,9.7222,178,4.0551,179,0.6436,180,0.7959
178,1.6719,180,0.5265,176,0.7759,179,2.8608
180,3.8351,178,4.4989,180,3.1646,180,3.4478
179,5.1332,180,0.6927,176,4.6429,156,0.6517
7,2.74,153,0.3517,176,0.4031,165,0.4022
178,2.7605,130,0.5814,179,0.3835,176,0.8479
85,4.3184,160,0.8912,58,0.5174,161,0.5333
178,9.4187,,,,,,
74,2.2091,,,,,,
0,0,,,,,,
